candidate_id,gender,age_group,education_level,field_of_study,years_experience,previous_role_relevance,skills_score,interview_score,certification,location_preference,hired
C001,male,18-24,bachelor,business,4,1,72,68,no,hybrid,no
C002,male,25-34,master,marketing,5,1,78,70,no,hybrid,no
C003,female,25-34,bachelor,finance,6,3,66,60,yes,remote,no
C004,non_binary,25-34,bachelor,finance,10,2,66,70,no,hybrid,no
C005,female,25-34,high_school,business,6,2,73,77,no,hybrid,no
C006,male,35-44,bachelor,marketing,20,5,100,80,yes,remote,yes
C007,male,18-24,master,finance,4,3,82,87,yes,hybrid,no
C008,female,18-24,master,hr,4,4,73,49,no,hybrid,no
C009,female,25-34,master,finance,11,4,77,69,yes,remote,yes
C010,female,25-34,phd,marketing,5,3,74,83,no,remote,no
C011,female,45-60,master,data_science,15,3,89,62,no,hybrid,no
C012,female,45-60,master,engineering,23,3,95,74,yes,remote,yes
C013,male,18-24,master,finance,1,2,63,47,no,onsite,no
C014,male,45-60,master,finance,24,3,96,60,no,hybrid,no
C015,female,25-34,bachelor,hr,2,1,76,95,yes,remote,no
C016,female,35-44,bachelor,business,13,2,76,76,no,onsite,yes
C017,female,18-24,bachelor,design,0,1,65,76,no,hybrid,no
C018,female,25-34,bachelor,data_science,8,5,81,92,no,remote,yes
C019,male,18-24,high_school,finance,1,4,87,71,no,remote,no
C020,male,35-44,bachelor,marketing,17,4,87,81,no,onsite,yes
C021,non_binary,25-34,bachelor,marketing,9,5,100,100,no,remote,yes
C022,male,35-44,bachelor,engineering,15,1,80,56,no,remote,no
C023,male,45-60,bachelor,marketing,21,4,81,94,no,remote,yes
C024,non_binary,45-60,high_school,business,14,2,85,67,no,remote,no
C025,male,35-44,master,finance,14,3,87,71,no,hybrid,no
C026,male,35-44,bachelor,data_science,16,3,78,64,yes,remote,no
C027,male,18-24,master,finance,1,3,84,85,yes,remote,yes
C028,female,45-60,master,business,29,2,72,68,yes,remote,no
C029,female,45-60,phd,engineering,15,3,87,49,yes,remote,yes
C030,female,45-60,master,finance,22,4,96,83,yes,onsite,yes
C031,male,25-34,master,engineering,4,2,81,59,no,onsite,no
C032,female,18-24,bachelor,data_science,2,3,96,66,no,onsite,no
C033,non_binary,25-34,phd,engineering,5,1,82,78,no,remote,no
C034,male,25-34,bachelor,hr,1,5,76,91,no,remote,yes
C035,male,35-44,master,data_science,11,5,80,99,no,remote,yes
C036,female,25-34,bachelor,data_science,7,2,69,64,no,remote,no
C037,male,18-24,bachelor,design,3,4,77,63,yes,hybrid,no
C038,male,35-44,bachelor,marketing,18,2,56,68,yes,hybrid,no
C039,female,18-24,bachelor,design,3,5,91,95,yes,onsite,yes
C040,male,18-24,master,finance,4,4,83,84,yes,hybrid,yes
C041,male,25-34,master,marketing,8,5,95,54,no,onsite,yes
C042,female,18-24,master,design,2,5,95,69,no,hybrid,yes
C043,female,35-44,bachelor,data_science,8,2,74,76,yes,onsite,no
C044,female,25-34,high_school,finance,1,5,95,77,no,hybrid,yes
C045,female,35-44,master,finance,18,5,99,69,no,hybrid,yes
C046,female,35-44,master,marketing,15,5,100,89,no,onsite,yes
C047,male,18-24,master,business,2,2,67,75,yes,remote,no
C048,male,25-34,master,design,6,2,72,59,yes,hybrid,no
C049,male,35-44,phd,business,13,1,70,66,yes,hybrid,no
C050,female,35-44,master,engineering,6,3,64,50,yes,onsite,no
C051,female,45-60,bachelor,hr,21,5,97,57,yes,onsite,yes
C052,male,35-44,high_school,marketing,13,1,75,59,no,remote,no
C053,male,25-34,bachelor,business,10,5,89,64,no,hybrid,yes
C054,female,25-34,phd,data_science,10,4,73,68,no,remote,no
C055,female,25-34,bachelor,data_science,5,5,100,79,no,remote,yes
C056,male,35-44,master,marketing,7,3,89,77,no,hybrid,no
C057,female,25-34,bachelor,hr,6,3,78,64,no,hybrid,no
C058,female,18-24,bachelor,finance,3,3,84,68,yes,remote,yes
C059,male,25-34,bachelor,business,1,5,87,80,yes,remote,yes
C060,male,35-44,master,engineering,13,3,85,75,no,hybrid,no
C061,male,25-34,master,design,1,2,83,84,no,remote,no
C062,female,35-44,master,finance,13,4,100,71,no,remote,yes
