candidate_id,gender,age_group,education_level,field_of_study,role_level_applied,years_experience,previous_role_relevance,skills_score,interview_score,portfolio_score,certification,location_preference,hired
C001,female,18-24,high_school,engineering,entry,1,2,64,62,64,no,onsite,no
C002,female,18-24,bachelor,business,junior,3,4,59,61,59,yes,hybrid,no
C003,female,18-24,master,data_science,mid,0,1,65,65,58,no,remote,no
C004,female,18-24,phd,marketing,senior,2,3,71,69,72,yes,onsite,no
C005,female,18-24,high_school,finance,entry,4,5,53,49,46,no,hybrid,no
C006,female,18-24,bachelor,engineering,junior,1,2,71,65,72,yes,remote,no
C007,female,18-24,master,business,mid,3,4,72,74,72,no,onsite,no
C008,female,25-34,phd,data_science,senior,8,1,78,77,72,yes,hybrid,yes
C009,female,25-34,high_school,marketing,entry,2,3,62,55,61,no,remote,yes
C010,female,25-34,bachelor,finance,junior,6,5,64,59,63,yes,onsite,no
C011,female,25-34,master,engineering,mid,10,2,68,74,65,no,hybrid,yes
C012,female,25-34,phd,business,senior,4,4,73,76,68,yes,remote,no
C013,female,25-34,high_school,data_science,entry,8,1,65,47,55,no,onsite,no
C014,female,35-44,bachelor,marketing,junior,19,3,79,59,70,yes,hybrid,yes
C015,female,35-44,master,finance,mid,10,5,81,62,68,no,remote,no
C016,female,35-44,phd,engineering,senior,16,2,79,74,81,yes,onsite,no
C017,female,35-44,high_school,business,entry,7,4,63,47,49,no,hybrid,no
C018,female,35-44,bachelor,data_science,junior,13,1,77,57,72,yes,remote,yes
C019,female,35-44,master,marketing,mid,19,3,81,67,81,no,onsite,yes
C020,female,45+,phd,finance,senior,12,5,87,80,86,yes,hybrid,no
C021,female,45+,high_school,engineering,entry,20,2,67,53,61,no,remote,no
C022,female,45+,bachelor,business,junior,28,4,81,67,77,yes,onsite,no
C023,female,45+,master,data_science,mid,16,1,72,64,63,no,hybrid,no
C024,female,45+,phd,marketing,senior,24,3,75,73,81,yes,remote,no
C025,female,45+,high_school,finance,entry,12,5,60,64,67,no,onsite,no
C026,male,18-24,bachelor,engineering,junior,1,2,64,67,67,yes,hybrid,no
C027,male,18-24,master,business,mid,3,4,66,68,61,no,remote,yes
C028,male,18-24,phd,data_science,senior,0,1,73,76,68,yes,onsite,yes
C029,male,18-24,high_school,marketing,entry,2,3,59,47,53,no,hybrid,yes
C030,male,18-24,bachelor,finance,junior,4,5,58,71,58,yes,remote,no
C031,male,18-24,master,engineering,mid,1,2,63,61,69,no,onsite,no
C032,male,25-34,phd,business,senior,6,4,67,75,78,yes,hybrid,yes
C033,male,25-34,high_school,data_science,entry,10,1,60,54,51,no,remote,yes
C034,male,25-34,bachelor,marketing,junior,4,3,57,69,59,yes,onsite,yes
C035,male,25-34,master,finance,mid,8,5,69,72,73,no,hybrid,yes
C036,male,25-34,phd,engineering,senior,2,2,70,67,66,yes,remote,yes
C037,male,25-34,high_school,business,entry,6,4,70,54,57,no,onsite,yes
C038,male,25-34,bachelor,data_science,junior,10,1,78,66,74,yes,hybrid,yes
C039,male,35-44,master,marketing,mid,19,3,86,58,70,no,remote,yes
C040,male,35-44,phd,finance,senior,10,5,85,75,80,yes,onsite,yes
C041,male,35-44,high_school,engineering,entry,16,2,75,55,67,no,hybrid,yes
C042,male,35-44,bachelor,business,junior,7,4,74,58,65,yes,remote,yes
C043,male,35-44,master,data_science,mid,13,1,76,60,64,no,onsite,yes
C044,male,35-44,phd,marketing,senior,19,3,79,68,81,yes,hybrid,yes
C045,male,45+,high_school,finance,entry,12,5,74,58,70,no,remote,yes
C046,male,45+,bachelor,engineering,junior,20,2,78,70,68,yes,onsite,yes
C047,male,45+,master,business,mid,28,4,79,74,82,no,hybrid,yes
C048,male,45+,phd,data_science,senior,16,1,79,74,81,yes,remote,yes
C049,male,45+,high_school,marketing,entry,24,3,79,57,65,no,onsite,yes
C050,male,45+,bachelor,finance,junior,12,5,65,63,65,yes,hybrid,yes
C051,non_binary,18-24,master,engineering,mid,1,2,74,58,68,no,remote,no
C052,non_binary,18-24,phd,business,senior,3,4,72,79,79,yes,onsite,yes
C053,non_binary,18-24,high_school,data_science,entry,0,1,54,60,54,no,hybrid,no
C054,non_binary,18-24,bachelor,marketing,junior,2,3,60,63,68,yes,remote,no
C055,non_binary,18-24,master,finance,mid,4,5,72,72,66,no,onsite,no
C056,non_binary,18-24,phd,engineering,senior,1,2,73,76,81,yes,hybrid,no
C057,non_binary,25-34,high_school,business,entry,6,4,70,50,68,no,remote,no
C058,non_binary,25-34,bachelor,data_science,junior,10,1,62,58,67,yes,onsite,yes
C059,non_binary,25-34,master,marketing,mid,4,3,73,68,70,no,hybrid,no
C060,non_binary,25-34,phd,finance,senior,8,5,84,80,78,yes,remote,yes
C061,non_binary,25-34,high_school,engineering,entry,2,2,59,51,59,no,onsite,no
C062,non_binary,25-34,bachelor,business,junior,6,4,63,56,58,yes,hybrid,no
C063,non_binary,35-44,master,data_science,mid,16,1,80,56,70,no,remote,yes
C064,non_binary,35-44,phd,marketing,senior,7,3,74,70,67,yes,onsite,no
C065,non_binary,35-44,high_school,finance,entry,13,5,66,63,58,no,hybrid,no
C066,non_binary,35-44,bachelor,engineering,junior,19,2,69,59,58,yes,remote,no
C067,non_binary,35-44,master,business,mid,10,4,78,73,77,no,onsite,yes
C068,non_binary,35-44,phd,data_science,senior,16,1,76,75,75,yes,hybrid,no
C069,non_binary,35-44,high_school,marketing,entry,7,3,60,54,64,no,remote,no
C070,non_binary,45+,bachelor,finance,junior,12,5,69,58,62,yes,onsite,yes
C071,non_binary,45+,master,engineering,mid,20,2,81,65,67,no,hybrid,no
C072,non_binary,45+,phd,business,senior,28,4,76,72,68,yes,remote,yes
C073,non_binary,45+,high_school,data_science,entry,16,1,69,46,54,no,onsite,no
C074,non_binary,45+,bachelor,marketing,junior,24,3,69,61,66,yes,hybrid,no
C075,non_binary,45+,master,finance,mid,12,5,71,61,74,no,remote,yes
C076,prefer_not_to_say,18-24,phd,engineering,senior,1,2,76,74,82,yes,onsite,no
C077,prefer_not_to_say,18-24,high_school,business,entry,3,4,64,57,57,no,hybrid,no
C078,prefer_not_to_say,18-24,bachelor,data_science,junior,0,1,62,60,58,yes,remote,no
C079,prefer_not_to_say,18-24,master,marketing,mid,2,3,68,68,73,no,onsite,no
C080,prefer_not_to_say,18-24,phd,finance,senior,4,5,70,71,70,yes,hybrid,no
C081,prefer_not_to_say,18-24,high_school,engineering,entry,1,2,56,55,56,no,remote,no
C082,prefer_not_to_say,25-34,bachelor,business,junior,6,4,74,71,70,yes,onsite,no
C083,prefer_not_to_say,25-34,master,data_science,mid,10,1,75,74,82,no,hybrid,no
C084,prefer_not_to_say,25-34,phd,marketing,senior,4,3,79,81,79,yes,remote,yes
C085,prefer_not_to_say,25-34,high_school,finance,entry,8,5,71,60,60,no,onsite,yes
C086,prefer_not_to_say,25-34,bachelor,engineering,junior,2,2,64,74,64,yes,hybrid,no
C087,prefer_not_to_say,25-34,master,business,mid,6,4,71,63,67,no,remote,no
C088,prefer_not_to_say,35-44,phd,data_science,senior,16,1,80,77,72,yes,onsite,no
C089,prefer_not_to_say,35-44,high_school,marketing,entry,7,3,67,53,60,no,hybrid,no
C090,prefer_not_to_say,35-44,bachelor,finance,junior,13,5,77,65,65,yes,remote,yes
C091,prefer_not_to_say,35-44,master,engineering,mid,19,2,79,73,80,no,onsite,yes
C092,prefer_not_to_say,35-44,phd,business,senior,10,4,83,69,70,yes,hybrid,no
C093,prefer_not_to_say,35-44,high_school,data_science,entry,16,1,70,63,64,no,remote,no
C094,prefer_not_to_say,45+,bachelor,marketing,junior,28,3,67,61,69,yes,onsite,no
C095,prefer_not_to_say,45+,master,finance,mid,16,5,77,66,75,no,hybrid,yes
C096,prefer_not_to_say,45+,phd,engineering,senior,24,2,85,80,83,yes,remote,no
C097,prefer_not_to_say,45+,high_school,business,entry,12,4,60,64,64,no,onsite,no
C098,prefer_not_to_say,45+,bachelor,data_science,junior,20,1,68,65,62,yes,hybrid,yes
C099,prefer_not_to_say,45+,master,marketing,mid,28,3,78,74,74,no,remote,no
C100,prefer_not_to_say,45+,phd,finance,senior,16,5,75,77,71,yes,onsite,no
